trade_id,symbol,side,entry_time_utc,entry_price,lowest_100_price,highest_100_price,atr_14,stop_loss_price,take_profit_price,risk_usdt,target_reward_usdt,result,pnl_usdt,holding_bars,target,trend_100b_pct,trend_50b_pct,trend_20b_pct,stoch_pos_pct,norm_atr_pct,volatility_range_pct,volume_ratio,entry_hour,dist_to_100low_pct,last_bar_body_ratio,last_bar_is_bullish
1,TACUSDT,LONG,2026-06-28 14:00:00 UTC,0.02094,0.0184,0.02626,0.00051,0.01739,0.02804,8.48,16.96,WIN,16.96,18,1,5.015,-19.213,2.8993,32.3155,2.4355,37.5358,0.5086,14,12.1299,0.873,0
2,TACUSDT,LONG,2026-06-28 15:00:00 UTC,0.02157,0.0184,0.02626,0.00055,0.01731,0.0301,9.88,19.76,WIN,19.76,17,1,7.7384,-13.089,5.217,40.3308,2.5498,36.4395,0.6063,15,14.6963,0.6095,1
3,TACUSDT,LONG,2026-06-28 16:00:00 UTC,0.02163,0.0184,0.02626,0.00053,0.01733,0.03023,9.93,19.87,WIN,19.87,16,1,2.5592,-13.3013,5.561,41.0941,2.4503,36.3384,0.6126,16,14.933,0.1795,1
4,TACUSDT,LONG,2026-06-28 17:00:00 UTC,0.02145,0.0184,0.02626,0.00054,0.01733,0.02968,9.6,19.2,WIN,19.2,15,1,0.4213,-13.4732,2.5825,38.8041,2.5175,36.6434,0.6682,17,14.2191,0.3158,0
5,TACUSDT,LONG,2026-06-28 18:00:00 UTC,0.02174,0.0184,0.02626,0.00053,0.01735,0.03053,10.1,20.2,WIN,20.2,14,1,4.8193,-7.0115,4.8193,42.4936,2.4379,36.1546,0.6794,18,15.3634,0.8108,1
6,TACUSDT,LONG,2026-06-28 19:00:00 UTC,0.02179,0.01986,0.02626,0.00051,0.01883,0.02772,6.8,13.61,WIN,13.61,13,1,7.4384,-5.9914,4.0057,30.1563,2.3405,29.3713,0.7902,19,8.8573,0.1842,1
7,TACUSDT,LONG,2026-06-28 20:00:00 UTC,0.02186,0.02012,0.02626,0.0005,0.01913,0.02731,6.24,12.48,WIN,12.48,12,1,7.5787,-7.6858,4.7939,28.3388,2.2873,28.0878,0.722,20,7.9597,0.2692,1
8,TACUSDT,LONG,2026-06-28 21:00:00 UTC,0.02227,0.02012,0.02626,0.0005,0.01912,0.02856,7.06,14.13,WIN,14.13,11,1,9.8175,-6.9009,6.6603,35.0163,2.2452,27.5707,0.7562,21,9.6542,0.7018,1
9,TACUSDT,LONG,2026-06-28 22:00:00 UTC,0.02217,0.02019,0.02626,0.0005,0.01919,0.02814,6.73,13.47,WIN,13.47,10,1,9.4815,-8.0083,6.1273,32.6194,2.2553,27.3793,0.7569,22,8.931,0.2083,0
10,TACUSDT,LONG,2026-06-28 23:00:00 UTC,0.02217,0.02019,0.02626,0.00048,0.01923,0.02805,6.64,13.27,WIN,13.27,9,1,9.2611,-9.21,4.87,32.6194,2.1651,27.3793,0.7579,23,8.931,0.037,1
