Sıra,Parite,Toplam İşlem Sayısı,Kazanma Oranı (%),Net Kâr / Zarar ($),Kasa Büyümesi (%),Bitiş Bakiyesi ($)
1,HUSDT,269,34.572490706319705,340.0065685403769,340.0065685403769,1340.006568540379
2,BANKUSDT,230,32.17391304347826,135.52229286885716,135.52229286885716,1135.5222928688574
3,AKEUSDT,242,34.710743801652896,84.06987010120821,84.06987010120821,1084.0698701012082
4,BEATUSDT,313,33.54632587859425,82.48120327470677,82.48120327470677,1082.4812032747072
5,DEXEUSDT,288,37.15277777777778,81.45924694491418,81.45924694491418,1081.4592469449126
6,GUAUSDT,261,34.099616858237546,76.28239068952789,76.28239068952789,1076.2823906895292
7,HMSTRUSDT,279,34.40860215053764,72.25889549899485,72.25889549899485,1072.2588954989953
8,DIAUSDT,231,32.03463203463203,60.989654918462506,60.989654918462506,1060.9896549184614
9,EULUSDT,265,32.83018867924528,45.53205099876031,45.53205099876031,1045.5320509987612
10,BICOUSDT,219,30.59360730593607,44.11129513190282,44.11129513190282,1044.1112951319014
11,HIGHUSDT,19,57.89473684210527,42.52305988016825,42.52305988016825,1042.523059880168
12,ARXUSDT,163,37.423312883435585,25.481147296792436,25.481147296792436,1025.4811472967922
13,AXTIUSDT,165,37.57575757575757,23.480906140194023,23.480906140194023,1023.4809061401943
14,BZUSDT,168,38.095238095238095,21.62803165572354,21.62803165572354,1021.6280316557219
15,COSUSDT,20,40.0,20.95366604871787,20.95366604871787,1020.9536660487178
16,CIENUSDT,105,42.857142857142854,19.995658259677928,19.995658259677928,1019.9956582596769
17,EPICUSDT,257,35.797665369649806,17.630501901735993,17.630501901735993,1017.6305019017349
18,1000RATSUSDT,220,34.090909090909086,16.765437952539987,16.765437952539987,1016.7654379525404
19,ICNTUSDT,196,35.714285714285715,16.742095835702205,16.742095835702205,1016.7420958357021
20,ASMLUSDT,142,40.845070422535215,16.272221649341187,16.272221649341187,1016.27222164934
21,ACTUSDT,256,32.421875,12.48154808483489,12.48154808483489,1012.4815480848351
22,BSVUSDT,187,36.898395721925134,11.854302984850458,11.854302984850458,1011.8543029848496
23,COTIUSDT,245,29.38775510204082,11.355880381872502,11.355880381872502,1011.3558803818723
24,IRENUSDT,153,31.372549019607842,11.044062877936355,11.044062877936355,1011.0440628779348
25,GIGGLEUSDT,235,33.61702127659574,10.261860200197809,10.261860200197809,1010.2618602001978
26,ALABUSDT,105,37.142857142857146,10.253980932608536,10.253980932608536,1010.2539809326078
27,ARMUSDT,177,34.463276836158194,8.169593472470611,8.169593472470611,1008.1695934724697
28,DUSDT,32,37.5,6.342581163353035,6.342581163353035,1006.3425811633526
29,CRMUSDT,125,41.6,5.799195256165946,5.799195256165946,1005.799195256164
30,COAIUSDT,269,31.59851301115242,5.681216024836362,5.681216024836362,1005.6812160248359
31,CROSSUSDT,212,36.79245283018868,5.621468223559213,5.621468223559213,1005.6214682235586
32,ESPORTSUSDT,345,35.07246376811594,4.030060552638839,4.030060552638839,1004.030060552639
33,CLUSDT,156,33.97435897435898,2.5294564645186157,2.5294564645186157,1002.5294564645172
34,CRWVUSDT,171,35.08771929824561,1.719602367207751,1.719602367207751,1001.7196023672069
35,DRAMUSDT,195,38.97435897435898,1.6081877440162433,1.6081877440162433,1001.6081877440154
36,BEUSDT,198,37.37373737373738,0.4652553978806463,0.4652553978806463,1000.4652553978813
37,AINUSDT,252,34.92063492063492,0.1783044917051725,0.1783044917051725,1000.1783044917057
38,EWTUSDT,168,36.904761904761905,-0.636169879784645,-0.636169879784645,999.3638301202134
39,GWEIUSDT,257,31.1284046692607,-1.168286908200026,-1.168286908200026,998.8317130918008
40,DYDXUSDT,239,30.543933054393307,-1.412958709397836,-1.412958709397836,998.5870412906024
41,CRWDUSDT,110,31.818181818181817,-2.3795239288739953,-2.3795239288739953,997.6204760711249
42,IOTAUSDT,218,35.77981651376147,-2.848865751524149,-2.848865751524149,997.1511342484762
43,AGLDUSDT,288,29.51388888888889,-3.2678728959921255,-3.2678728959921255,996.7321271040084
44,BABAUSDT,127,30.708661417322837,-4.276547767833623,-4.276547767833623,995.723452232165
45,ETHUSDT,169,36.68639053254438,-4.902741337138763,-4.902741337138763,995.0972586628593
46,SOLUSDT,181,34.25414364640884,-4.961434342302862,-4.961434342302862,995.0385656576963
47,CCUSDT,275,37.45454545454546,-6.082863492617443,-6.082863492617443,993.917136507381
48,DOODUSDT,217,35.483870967741936,-6.299622198572933,-6.299622198572933,993.700377801427
49,CATIUSDT,204,31.372549019607842,-6.74282304201343,-6.74282304201343,993.257176957986
50,ADAUSDT,179,34.07821229050279,-6.899356789308744,-6.899356789308744,993.1006432106909
51,JSTUSDT,216,37.03703703703704,-7.234086199604352,-7.234086199604352,992.7659138003935
52,IPUSDT,112,29.464285714285715,-8.073356487482902,-8.073356487482902,991.9266435125173
53,COLLECTUSDT,246,35.36585365853659,-8.515697905653468,-8.515697905653468,991.4843020943459
54,BILLUSDT,268,33.95522388059701,-8.54344578703512,-8.54344578703512,991.4565542129642
55,FRAXUSDT,199,35.175879396984925,-8.571738808929382,-8.571738808929382,991.4282611910704
56,COPPERUSDT,118,31.35593220338983,-8.648169932124281,-8.648169932124281,991.3518300678724
57,BMNRUSDT,181,33.70165745856354,-9.311046962101043,-9.311046962101043,990.6889530378991
58,FRONTUSDT,80,35.0,-9.55480502145746,-9.55480502145746,990.4451949785424
59,AGTUSDT,266,37.21804511278196,-9.709868464549738,-9.709868464549738,990.2901315354503
60,COSTUSDT,77,31.16883116883117,-9.753977688795386,-9.753977688795386,990.2460223112025
61,BASEDUSDT,263,31.93916349809886,-9.983183549736202,-9.983183549736202,990.0168164502641
62,ERAUSDT,184,30.434782608695656,-10.544175857844836,-10.544175857844836,989.4558241421555
63,AAPLUSDT,115,29.565217391304348,-10.592730912565207,-10.592730912565207,989.4072690874323
64,HYUNDAIUSDT,149,40.939597315436245,-10.598867314548974,-10.598867314548974,989.4011326854508
