Sıra,Parite,Toplam İşlem Sayısı,Kazanma Oranı (%),Net Kâr / Zarar ($),Kasa Büyümesi (%),Bitiş Bakiyesi ($)
1,EVAAUSDT,23,39.130434782608695,115.68317054783839,115.68317054783839,215.68317054783842
2,DEXEUSDT,24,37.5,113.05618980237142,113.05618980237142,213.05618980237145
3,SIRENUSDT,21,42.857142857142854,82.22089921990872,82.22089921990872,182.22089921990866
4,EULUSDT,13,61.53846153846154,68.86688195204437,68.86688195204437,168.86688195204437
5,KOMAUSDT,17,35.294117647058826,68.59319276063121,68.59319276063121,168.5931927606312
6,TRIAUSDT,28,42.857142857142854,61.12604246631814,61.12604246631814,161.1260424663181
7,HMSTRUSDT,17,35.294117647058826,58.92392341039842,58.92392341039842,158.92392341039843
8,SKYAIUSDT,39,43.58974358974359,55.86574820340508,55.86574820340508,155.86574820340505
9,SLXUSDT,22,40.909090909090914,55.82160873393977,55.82160873393977,155.8216087339398
10,VELVETUSDT,24,33.33333333333333,46.99926613174958,46.99926613174958,146.99926613174964
11,SYNUSDT,20,55.00000000000001,46.84961369705811,46.84961369705811,146.8496136970581
12,ESPORTSUSDT,23,34.78260869565217,39.76609570290572,39.76609570290572,139.76609570290572
13,GWEIUSDT,16,50.0,39.07648545094376,39.07648545094376,139.0764854509437
14,LABUSDT,30,40.0,38.47475634109534,38.47475634109534,138.4747563410953
15,HOMEUSDT,34,41.17647058823529,33.70278158207791,33.70278158207791,133.7027815820779
16,NFPUSDT,8,50.0,33.31273075623494,33.31273075623494,133.3127307562349
17,OPNUSDT,16,50.0,23.720795147761024,23.720795147761024,123.72079514776104
18,DIAUSDT,19,52.63157894736842,21.995949842587784,21.995949842587784,121.99594984258782
19,AIOUSDT,22,31.818181818181817,21.83345837840399,21.83345837840399,121.833458378404
20,RIFUSDT,44,36.36363636363637,19.932185134550494,19.932185134550494,119.93218513455052
21,TACUSDT,25,32.0,19.878614199015455,19.878614199015455,119.87861419901546
22,SQDUSDT,10,40.0,19.15397038073203,19.15397038073203,119.15397038073203
23,BANKUSDT,11,45.45454545454545,18.570745625101583,18.570745625101583,118.5707456251016
24,1000RATSUSDT,20,50.0,18.048550764222156,18.048550764222156,118.04855076422214
25,SOXLUSDT,46,41.30434782608695,17.737024396210987,17.737024396210987,117.73702439621098
26,EDGEUSDT,14,50.0,16.962094772921915,16.962094772921915,116.96209477292193
27,NAORISUSDT,17,58.82352941176471,16.070868916056458,16.070868916056458,116.07086891605647
28,XNYUSDT,10,30.0,15.781952312015422,15.781952312015422,115.78195231201542
29,ALCHUSDT,14,35.714285714285715,15.142804386889413,15.142804386889413,115.14280438688942
30,WDCUSDT,36,47.22222222222222,15.040529213451993,15.040529213451993,115.04052921345196
31,GLWUSDT,27,44.44444444444444,14.866573023989833,14.866573023989833,114.86657302398984
32,MYXUSDT,17,35.294117647058826,14.621931701051315,14.621931701051315,114.6219317010513
33,COLLECTUSDT,16,25.0,14.347018348336125,14.347018348336125,114.34701834833612
34,SCRTUSDT,11,36.36363636363637,14.316439859743559,14.316439859743559,114.31643985974355
35,ZKPUSDT,10,40.0,13.231467806335697,13.231467806335697,113.2314678063357
36,BLESSUSDT,16,50.0,12.724005767577742,12.724005767577742,112.72400576757772
37,GUAUSDT,18,50.0,12.498847269742386,12.498847269742386,112.49884726974237
38,RONINUSDT,14,57.14285714285714,11.664255093055893,11.664255093055893,111.6642550930559
39,KORUUSDT,29,24.137931034482758,11.501660779207095,11.501660779207095,111.5016607792071
40,GRIFFAINUSDT,11,45.45454545454545,11.10454336170951,11.10454336170951,111.10454336170952
41,ERAUSDT,17,47.05882352941176,11.023519995821296,11.023519995821296,111.0235199958213
42,YBUSDT,11,54.54545454545454,10.925828962884534,10.925828962884534,110.92582896288455
43,SCRUSDT,9,66.66666666666666,10.921967616419096,10.921967616419096,110.92196761641911
44,MEGAUSDT,14,42.857142857142854,10.87642768866944,10.87642768866944,110.87642768866945
45,PUNDIXUSDT,18,50.0,10.696757935347062,10.696757935347062,110.69675793534708
46,STORJUSDT,7,71.42857142857143,10.667582060933606,10.667582060933606,110.66758206093361
47,MANTAUSDT,18,22.22222222222222,10.549563329590903,10.549563329590903,110.5495633295909
48,ARCUSDT,23,52.17391304347826,10.206264443365466,10.206264443365466,110.20626444336544
49,ZECUSDT,11,27.27272727272727,10.18270477106112,10.18270477106112,110.18270477106114
50,API3USDT,11,63.63636363636363,10.111843008497646,10.111843008497646,110.11184300849766
51,AINUSDT,23,47.82608695652174,10.008752366112466,10.008752366112466,110.00875236611246
52,COINUSDT,23,56.52173913043478,9.900222975324443,9.900222975324443,109.90022297532448
53,RIVERUSDT,13,46.15384615384615,9.841476652426246,9.841476652426246,109.84147665242622
54,CLUSDT,17,52.94117647058824,9.771296784762535,9.771296784762535,109.77129678476254
