trade_no,side,ref_price,atr_val,entry_time,entry_price,sl_price,tp_price,exit_time,exit_price,exit_reason,hold_hours,raw_pnl_pct,net_pnl_pct
1,SHORT,0.021491,0.00041035714285714286,2026-06-28 13:00:00,0.021491,0.022311714285714285,0.020670285714285714,2026-06-28 14:00:00,0.020670285714285714,TP,2,3.8188743460717776,3.7188743460717775
2,LONG,0.021576,0.00048078571428571457,2026-06-28 15:00:00,0.021576,0.020614428571428572,0.02253757142857143,2026-06-29 07:00:00,0.02253757142857143,TP,17,4.456671433868324,4.356671433868324
3,LONG,0.033951,0.0011943571428571433,2026-06-29 08:00:00,0.033951,0.031562285714285716,0.03633971428571429,2026-06-29 08:00:00,0.03633971428571429,TP,1,7.035770038332554,6.935770038332555
4,LONG,0.045302,0.002055928571428572,2026-06-29 09:00:00,0.045302,0.041190142857142856,0.04941385714285715,2026-06-29 09:00:00,0.04941385714285715,TP,1,9.076546604691064,8.976546604691064
5,SHORT,0.051659,0.0026695714285714287,2026-06-29 10:00:00,0.051659,0.05699814285714285,0.04631985714285714,2026-06-29 14:00:00,0.05699814285714285,SL,5,-10.335358518637323,-10.435358518637324
6,LONG,0.057608,0.005136785714285716,2026-06-29 15:00:00,0.057608,0.04733442857142857,0.06788157142857143,2026-06-30 14:00:00,0.06788157142857143,TP,24,17.83358462118357,17.733584621183567
7,SHORT,0.065908,0.004842214285714286,2026-06-30 15:00:00,0.065908,0.07559242857142856,0.05622357142857142,2026-07-01 12:00:00,0.05622357142857142,TP,22,14.693858972247032,14.59385897224703
8,LONG,0.057059,0.0029944285714285745,2026-07-01 13:00:00,0.057059,0.05107014285714285,0.06304785714285714,2026-07-01 15:00:00,0.05107014285714285,SL,3,-10.495902737266952,-10.595902737266952
9,SHORT,0.050371,0.003543500000000002,2026-07-01 16:00:00,0.050371,0.057458,0.043283999999999996,2026-07-01 17:00:00,0.043283999999999996,TP,2,14.06960354172044,13.96960354172044
10,LONG,0.042922,0.003928357142857143,2026-07-01 18:00:00,0.042922,0.035065285714285716,0.05077871428571429,2026-07-01 20:00:00,0.05077871428571429,TP,3,18.304632323084398,18.2046323230844
11,LONG,0.04149,0.0044325,2026-07-01 21:00:00,0.04149,0.032625,0.050355,2026-07-02 13:00:00,0.032625,SL,17,-21.36659436008676,-21.466594360086763
12,LONG,0.030455,0.0032965000000000004,2026-07-02 14:00:00,0.030455,0.023861999999999998,0.037048,2026-07-02 14:00:00,0.037048,TP,1,21.648333606961085,21.548333606961084
13,LONG,0.03342,0.0036104285714285713,2026-07-02 15:00:00,0.03342,0.026199142857142855,0.04064085714285714,2026-07-04 11:00:00,0.04064085714285714,TP,45,21.606394802085997,21.506394802086
14,SHORT,0.04077,0.0022408571428571425,2026-07-04 12:00:00,0.04077,0.045251714285714284,0.03628828571428572,2026-07-04 12:00:00,0.03628828571428572,TP,1,10.99267668804092,10.89267668804092
15,SHORT,0.035434,0.0030014999999999994,2026-07-04 13:00:00,0.035434,0.041437,0.029431000000000002,2026-07-05 14:00:00,0.029431000000000002,TP,26,16.94135576000451,16.841355760004507
16,LONG,0.029823,0.0008263571428571431,2026-07-05 15:00:00,0.029823,0.028170285714285714,0.03147571428571429,2026-07-05 19:00:00,0.03147571428571429,TP,5,5.541743908105451,5.441743908105451
17,LONG,0.031069,0.0008136428571428573,2026-07-05 20:00:00,0.031069,0.029441714285714286,0.03269628571428571,2026-07-06 06:00:00,0.029441714285714286,SL,11,-5.237650758909887,-5.337650758909888
18,SHORT,0.029627,0.0007599999999999997,2026-07-06 07:00:00,0.029627,0.031147,0.028107,2026-07-06 16:00:00,0.031147,SL,10,-5.1304553279103535,-5.230455327910353
19,LONG,0.030963,0.0007901428571428568,2026-07-06 17:00:00,0.030963,0.029382714285714286,0.03254328571428571,2026-07-07 00:00:00,0.03254328571428571,TP,8,5.10378746983726,5.003787469837261
20,LONG,0.032911,0.0008715,2026-07-07 01:00:00,0.032911,0.031168,0.034654000000000004,2026-07-07 07:00:00,0.034654000000000004,TP,7,5.296101607365323,5.196101607365323
21,LONG,0.034494,0.0011459285714285723,2026-07-07 08:00:00,0.034494,0.03220214285714285,0.03678585714285714,2026-07-07 08:00:00,0.03678585714285714,TP,1,6.644219698663954,6.544219698663954
22,LONG,0.045098,0.0018532142857142866,2026-07-07 09:00:00,0.045098,0.04139157142857142,0.048804428571428575,2026-07-07 09:00:00,0.048804428571428575,TP,1,8.21860963108913,8.11860963108913
23,LONG,0.050579,0.0024835000000000005,2026-07-07 10:00:00,0.050579,0.045612,0.055546,2026-07-07 15:00:00,0.045612,SL,6,-9.820281144348444,-9.920281144348444
24,SHORT,0.005717,0.007387214285714286,2026-07-07 16:00:00,0.005717,0.02049142857142857,-0.009057428571428572,2026-08-26 21:00:00,0.004712,CLOSE_END,1206,17.57914990379569,17.479149903795694
