Trade_ID,Symbol,Side,Entry_Time_UTC,Entry_Unix_ms,Entry_Unix_sec,Exit_Time_UTC,Exit_Unix_ms,Exit_Unix_sec,Entry_Price,Lowest_100_Price,ATR_14,Stop_Loss_Price,Take_Profit_Price,Exit_Price,Position_Size_USDT,Risk_USDT,Target_Reward_USDT,Result,PnL_USDT,PnL_Percent,Holding_Bars
1,TACUSDT,LONG,2026-06-28 14:00:00 UTC,1782655200000,1782655200,2026-06-29 07:59:59 UTC,1782719999999,1782719999,0.02094,0.0184,0.00051,0.01739,0.02804,0.02804,50.0,8.48,16.96,WIN,16.96,33.91,18
2,TACUSDT,LONG,2026-06-28 15:00:00 UTC,1782658800000,1782658800,2026-06-29 07:59:59 UTC,1782719999999,1782719999,0.02157,0.0184,0.00055,0.01731,0.0301,0.0301,50.0,9.88,19.76,WIN,19.76,39.52,17
3,TACUSDT,LONG,2026-06-28 16:00:00 UTC,1782662400000,1782662400,2026-06-29 07:59:59 UTC,1782719999999,1782719999,0.02163,0.0184,0.00053,0.01733,0.03023,0.03023,50.0,9.93,19.87,WIN,19.87,39.73,16
4,TACUSDT,LONG,2026-06-28 17:00:00 UTC,1782666000000,1782666000,2026-06-29 07:59:59 UTC,1782719999999,1782719999,0.02145,0.0184,0.00054,0.01733,0.02968,0.02968,50.0,9.6,19.2,WIN,19.2,38.41,15
5,TACUSDT,LONG,2026-06-28 18:00:00 UTC,1782669600000,1782669600,2026-06-29 07:59:59 UTC,1782719999999,1782719999,0.02174,0.0184,0.00053,0.01735,0.03053,0.03053,50.0,10.1,20.2,WIN,20.2,40.39,14
6,TACUSDT,LONG,2026-06-28 19:00:00 UTC,1782673200000,1782673200,2026-06-29 07:59:59 UTC,1782719999999,1782719999,0.02179,0.01986,0.00051,0.01883,0.02772,0.02772,50.0,6.8,13.61,WIN,13.61,27.21,13
7,TACUSDT,LONG,2026-06-28 20:00:00 UTC,1782676800000,1782676800,2026-06-29 07:59:59 UTC,1782719999999,1782719999,0.02186,0.02012,0.0005,0.01913,0.02731,0.02731,50.0,6.24,12.48,WIN,12.48,24.96,12
8,TACUSDT,LONG,2026-06-28 21:00:00 UTC,1782680400000,1782680400,2026-06-29 07:59:59 UTC,1782719999999,1782719999,0.02227,0.02012,0.0005,0.01912,0.02856,0.02856,50.0,7.06,14.13,WIN,14.13,28.26,11
9,TACUSDT,LONG,2026-06-28 22:00:00 UTC,1782684000000,1782684000,2026-06-29 07:59:59 UTC,1782719999999,1782719999,0.02217,0.02019,0.0005,0.01919,0.02814,0.02814,50.0,6.73,13.47,WIN,13.47,26.93,10
10,TACUSDT,LONG,2026-06-28 23:00:00 UTC,1782687600000,1782687600,2026-06-29 07:59:59 UTC,1782719999999,1782719999,0.02217,0.02019,0.00048,0.01923,0.02805,0.02805,50.0,6.64,13.27,WIN,13.27,26.54,9
